OA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016186,482,6,4,3,3,5,5,4,2,3,3,4,2,3,2,5,2,3,6,2,3,2,4,4,11,11,15,24,15,18,13,14,18,17,13,16,9,14,11,10,6,2,7,9,8,3,15,11,6,8,7,3,13,5,5,8,2,4,4,4,3,2,2,2,1,1,2,4,3,4,5,0,5,0,0,0,2,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0
E00016188,282,2,1,2,0,2,3,5,3,2,2,7,0,5,4,2,5,1,5,0,0,2,5,3,1,4,4,2,5,3,4,5,5,13,7,13,6,4,4,4,6,7,3,5,3,4,5,1,4,6,8,4,3,3,2,3,3,3,3,4,2,2,0,1,5,1,1,3,3,2,2,4,2,3,2,1,2,1,3,4,3,0,4,0,0,0,0,0,0,2,1,3
E00016166,198,1,1,2,2,2,3,2,2,2,2,1,3,0,4,3,1,1,0,2,0,3,0,0,2,2,2,7,3,10,7,1,5,4,4,5,5,2,3,7,5,2,4,1,2,4,3,4,9,3,4,2,2,2,1,4,4,2,1,4,2,0,1,3,0,0,3,0,0,2,0,0,0,2,2,1,1,1,1,2,1,0,2,0,1,3,0,0,0,0,0,1
E00016167,258,3,3,4,3,5,4,4,6,3,2,6,3,1,3,2,4,2,1,1,2,2,1,3,4,4,4,0,0,4,1,2,6,2,1,2,2,2,4,3,5,2,4,3,1,2,5,4,8,0,6,1,5,6,5,9,3,3,1,4,2,4,2,1,2,5,2,6,2,4,3,2,4,2,2,1,3,1,4,3,1,1,2,2,2,3,1,1,0,0,1,3
E00016171,317,3,2,3,5,5,3,2,1,3,1,0,0,0,3,2,0,1,1,0,2,3,2,7,7,6,10,8,12,12,20,8,6,10,11,11,10,12,6,8,5,6,10,5,4,5,3,4,5,4,6,3,4,4,2,1,1,4,1,2,3,2,5,2,2,1,1,0,1,0,2,2,1,0,3,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0
E00016174,300,7,5,4,6,8,11,4,7,3,9,3,3,2,3,3,0,1,1,1,0,0,0,0,1,5,3,0,4,3,3,2,1,3,6,6,4,8,8,9,7,6,5,5,7,6,12,4,3,7,3,7,5,5,6,3,2,3,3,4,3,3,1,5,2,2,2,0,0,0,2,0,1,0,4,2,1,1,1,4,2,2,1,1,2,1,0,0,1,2,0,4
E00016204,294,5,2,5,2,4,2,5,2,3,5,0,3,1,2,1,2,2,0,2,0,4,5,9,2,6,3,3,7,12,8,4,6,5,6,4,4,6,7,5,2,6,4,7,5,8,3,6,3,5,6,2,4,3,3,3,4,3,5,4,4,3,2,2,0,2,1,5,1,0,1,1,2,3,2,3,0,1,3,1,1,1,2,3,2,2,1,1,1,1,1,1
E00016206,317,3,5,5,5,5,1,5,2,4,3,4,1,0,4,4,1,4,1,1,2,4,6,9,4,7,12,7,5,18,7,9,7,6,7,8,3,6,8,8,4,4,4,2,1,1,1,7,3,2,7,4,5,2,5,4,7,5,3,5,9,2,4,2,1,1,2,3,0,1,4,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
E00016164,324,1,3,5,2,4,4,4,0,3,6,2,3,7,5,7,4,5,5,7,14,3,3,4,0,4,8,6,8,2,3,5,8,3,5,3,4,3,3,3,4,1,5,4,7,6,3,2,6,3,1,4,5,5,5,11,9,10,4,1,2,6,5,2,4,1,1,2,1,2,5,1,2,1,2,2,2,0,1,1,1,0,2,2,2,1,1,1,1,0,1,4
E00016170,477,6,4,8,9,4,5,7,3,4,3,8,6,10,5,6,9,3,3,8,1,2,3,3,3,4,9,10,12,6,16,12,18,8,13,10,8,9,8,9,9,9,12,8,8,7,9,15,7,6,8,4,5,5,8,4,7,6,4,7,3,4,0,5,5,5,2,3,2,4,3,2,1,0,1,1,0,2,0,1,5,0,0,1,0,0,0,1,0,2,0,1
